id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,retailvalue,energy-eff,monument
89,3520,46.6,14.4,671,99,576,0,2324,5215,1973,1,170100,229000,0,0
90,3520,15,13.3,199,119,117,0,2057,5040,1978,1,111300,154000,0,0
91,3520,12.9,18.2,235,116,148,0,2191,5416,1971,1,114900,171000,0,0
92,3520,44.8,18.5,828,99,766,0,2091,5413,1975,1,193600,255000,0,0
93,3520,44.8,15.9,713,98,628,1,2373,5479,1973,1,175800,240000,0,0
94,3520,14.8,14.2,210,96,158,0,2472,5326,1983,1,99100,155000,1,0
95,3520,72.4,10,724,140,644,1,2021,5153,1981,2,202600,257000,0,0
96,3520,37.9,18.5,702,89,620,0,2196,5483,1970,1,168700,227000,0,0
97,3520,64.6,14,905,153,842,0,2414,5458,1982,2,237600,311000,0,0
98,3520,36.9,16.7,616,98,534,0,2034,5374,1984,1,161200,216000,0,0
99,3520,77.7,10.3,800,111,735,0,2218,5102,1971,1,196600,254000,0,0
100,3520,33.3,19.3,642,106,557,1,2386,5387,1973,1,169900,235000,0,0
101,3525,16.3,15.3,249,142,168,0,2602,5705,2001,1,127600,168000,0,0
102,3525,27.7,10.1,280,176,196,1,2527,5545,2002,2,152600,208000,0,0
103,3525,21.2,17.7,375,166,325,0,2614,5790,1999,2,160900,202000,0,0
104,3525,33.6,18.5,621,150,537,1,2891,5722,1982,2,188200,220000,0,1
105,3525,23.1,17.9,413,181,322,0,2617,5509,1991,1,175600,227000,0,0
106,3525,43.6,13.5,589,117,525,1,2912,5713,2003,1,163600,191000,1,1
107,3525,17.8,18.1,322,186,266,0,2897,5508,1986,1,164900,207000,0,0
108,3525,23.7,18.8,446,122,385,1,2770,5841,2000,2,145100,171000,1,1
109,3525,44.4,10.2,453,120,359,1,2874,5763,1981,2,145000,170000,0,0
110,3525,72.2,10.7,773,178,704,1,2559,5899,2003,1,227800,272000,0,1
111,3525,40.9,19.1,781,198,696,1,2778,5893,1999,1,241000,278000,0,0
112,3525,15.6,15.8,247,126,166,1,2807,5891,1982,1,117700,139000,0,0
113,3525,25.2,10.9,275,166,186,0,2544,5977,1993,2,145900,180000,0,0
114,3525,20.1,11.8,237,93,153,0,2924,5848,1998,1,96400,112000,1,0
115,3525,24.2,13.1,317,95,265,1,2780,5852,1984,1,109600,134000,1,0
116,3525,39.3,17.9,703,106,627,1,2798,5645,1980,1,174100,211000,0,0
117,3525,29.8,14.5,432,174,360,0,2439,5829,1984,1,174200,219000,0,0
118,3525,44.2,17.6,778,132,710,0,2582,5752,1993,1,200900,247000,0,0
119,3525,30.1,19.2,578,142,493,1,2635,5620,1981,1,176900,223000,0,0
120,3525,25.1,10.9,274,192,216,1,2798,5708,1992,1,161300,198000,0,0
121,3528,8.5,14.9,127,83,56,1,2512,5956,2001,1,68900,107000,1,0
122,3528,8.5,16.2,138,113,45,1,2549,5522,2004,1,88500,139000,1,0
123,3528,8.8,14.2,125,81,71,1,2329,5665,1995,1,67400,113000,1,0
124,3528,12,10.2,122,92,39,1,2356,5525,1997,1,73500,124000,1,0
125,3528,6.3,19.8,125,80,68,1,2712,5540,2001,1,66800,110000,1,0
126,3528,10.6,12.7,135,96,48,1,2705,5740,2000,1,77900,117000,1,0
127,3528,12.5,11.3,141,90,54,1,2797,5789,2000,1,75200,111000,1,0
128,3528,11.4,11.4,130,111,41,1,2472,5501,2000,1,86100,138000,1,0
129,3528,8.9,13.8,123,96,33,1,2560,5872,1995,1,76100,116000,1,0
130,3528,11.3,11.9,134,89,80,1,2312,5586,1997,1,73500,122000,1,0
131,3528,6.4,17.7,113,95,53,1,2474,5957,2001,1,74000,113000,1,0
132,3528,9,15.7,142,89,66,1,2614,5569,2001,1,74700,120000,1,0
133,3528,11.3,11.9,134,118,72,1,2627,5564,1999,1,90900,138000,1,0
134,3528,7.8,17.9,139,117,50,1,2405,5557,1998,1,91100,144000,0,0
135,3528,6.7,17.1,114,103,62,1,2449,5763,2000,1,78900,124000,1,0
136,3528,10.8,13.7,148,120,97,1,2779,5842,1997,2,94200,132000,0,0
137,3528,9.6,14,135,88,46,1,2790,5785,1997,1,73100,109000,1,0
138,3528,9.3,12.3,115,108,42,1,2634,5964,2003,1,82100,118000,1,0
139,3528,6.8,17.6,119,80,49,1,2438,5680,1998,1,65900,112000,1,0
140,3528,10.1,14.5,146,105,74,1,2312,5667,2000,1,84900,133000,1,0
141,3800,60.9,16.3,992,229,925,1,2843,5435,2002,2,316200,384000,0,0
142,3800,47.4,19.1,905,245,808,1,2744,5307,1991,2,312800,382000,0,1
143,3800,35,19.2,672,142,583,0,2869,5288,1996,1,216000,265000,0,0
144,3800,49.2,20,984,151,922,1,2707,5058,1997,2,268200,322000,0,1
145,3800,27.5,18.5,509,222,413,1,2888,5344,2007,1,239600,293000,0,0
146,3800,33.7,17.8,600,171,547,0,2928,5054,2001,2,222600,261000,0,0
147,3800,41.4,14.2,588,133,490,1,2600,5396,2008,2,198000,260000,1,1
148,3800,57.9,16.8,973,178,900,2,2686,5091,2001,2,282800,341000,0,0
149,3800,59.1,14.1,833,123,737,1,2600,5278,2007,1,228800,290000,1,0
150,3800,64.6,13.7,885,133,809,2,2842,5108,2010,1,242600,289000,1,1
151,3800,75.1,13.6,1021,156,929,2,2884,5257,2003,1,276800,333000,0,1
152,3800,38.4,19,729,158,663,1,2727,5486,2002,2,234200,293000,0,0
153,3800,56.7,12.6,715,190,631,2,2962,5284,1998,1,251300,301000,0,0
154,3800,35,19.9,697,159,618,1,2687,5298,1999,2,230000,289000,0,0
155,3800,33,19.3,636,242,559,0,2678,5309,2009,2,270600,336000,0,0
156,3800,51.2,16.9,866,127,801,2,2622,5193,2003,2,236100,294000,1,1
157,3800,62.3,18.6,1159,128,1088,2,2750,5011,1996,1,280700,333000,0,1
158,3800,35.6,18.9,673,221,621,1,2688,5186,1991,2,263600,323000,0,0
159,3800,62.1,11.4,708,131,617,1,2722,5254,2000,1,214800,268000,1,0
160,3800,44,14.2,625,136,531,1,2659,5230,2008,2,205400,259000,1,1
161,3520,16.3,14.1,230,88,164,0,2036,5466,1976,1,97300,146000,0,0
162,3520,73.2,12.6,922,91,850,0,2382,5329,1977,1,202900,271000,0,0
163,3520,36.9,12.1,447,120,375,0,2012,5154,1972,2,149100,196000,0,0
164,3520,20.6,18.7,385,137,288,0,2370,5455,1974,2,150000,215000,0,0
165,3520,40.3,18.5,746,88,662,1,2452,5458,1975,1,174700,238000,0,0
166,3520,75.8,10,758,158,686,0,2016,5003,1972,1,218500,272000,0,1
167,3520,16,14.1,225,136,171,0,2052,5500,1980,2,125400,177000,0,0
168,3520,54.9,17.9,983,128,884,1,2482,5388,1972,2,234300,307000,0,1
169,3520,49.5,19.7,975,81,896,0,2277,5190,1977,1,204900,267000,0,0
170,3520,86.1,11.5,990,127,922,0,2337,5027,1980,1,234700,299000,0,0
171,3520,14.6,15.5,227,97,128,1,2166,5344,1976,1,102300,155000,0,1
172,3520,28.3,13,368,120,294,0,2276,5477,1972,2,137200,197000,0,1
173,3520,28.4,12.5,355,139,283,1,2409,5355,1970,2,146700,212000,0,1
174,3520,47.2,15.9,751,92,655,0,2354,5399,1982,1,177900,244000,1,0
175,3520,53.8,14.1,759,98,665,1,2007,5023,1975,1,182700,231000,0,1
176,3520,31.7,12.9,409,152,353,0,2263,5137,1980,1,162600,217000,0,0
177,3520,34.7,12.3,427,81,332,0,2127,5061,1970,1,122700,167000,0,0
178,3520,35.8,15.4,551,85,476,0,2470,5119,1976,1,143700,197000,0,0
179,3520,29.1,10.4,303,92,217,1,2409,5385,1976,1,110700,172000,0,0
180,3520,23.5,19.2,452,130,367,1,2279,5357,1983,2,155800,215000,0,0
181,3525,71.8,10.9,783,146,706,0,2562,5596,1992,2,210100,265000,0,1
182,3525,71.9,10.4,748,185,667,0,2998,5919,2005,1,228200,252000,0,0
183,3525,39.2,11,431,175,356,1,2773,5652,1992,2,174700,213000,0,1
184,3525,24.5,12.6,309,116,227,1,2937,5573,1987,1,121000,152000,0,0
185,3525,31.7,14.4,456,169,401,0,2638,5590,1992,2,174800,222000,0,0
186,3525,52.4,15.8,828,146,770,0,2701,5962,1982,1,216800,250000,0,1
187,3525,22.3,19,423,119,355,0,2423,5809,2004,1,139900,182000,1,0
188,3525,28.8,13.9,401,169,330,1,2424,5602,1980,1,166600,222000,0,0
189,3525,35.5,19.2,682,144,620,0,2581,5714,1982,2,193700,241000,0,0
190,3525,31.7,19.2,609,197,544,0,2977,5570,1980,2,214600,253000,0,0
191,3525,18.9,16,302,101,206,1,2489,5992,1993,1,110900,142000,0,0
192,3525,60.4,13.9,839,198,744,1,2978,5630,2001,2,249700,290000,0,0
193,3525,73.8,11,812,134,752,1,2836,5949,1982,1,207200,234000,0,0
194,3525,21.1,20,422,92,335,1,2611,5653,2003,1,123500,162000,1,0
195,3525,39.4,19.3,761,116,691,1,2733,5654,2004,1,188800,231000,1,0
196,3525,42.2,18.8,794,105,705,1,2564,5523,1998,1,187100,242000,0,1
197,3525,30.9,14,433,186,366,1,2440,5831,1986,1,181600,228000,0,0
198,3525,17.8,13.4,238,142,175,0,2960,5676,2005,2,125900,151000,1,0
199,3525,25.5,18.3,466,188,408,0,2926,5919,1984,1,187700,209000,0,0
200,3525,17.4,18.4,320,156,224,0,2884,5711,1994,1,146600,177000,0,0
201,3528,9.3,15.5,144,97,91,1,2353,5900,2003,1,79800,122000,1,0
202,3528,8.4,17.3,145,106,56,1,2448,5675,2003,1,85400,134000,1,0
203,3528,6.6,18.2,121,109,38,1,2561,5881,1995,1,83600,124000,0,0
204,3528,9.2,13.2,122,83,54,1,2551,5760,1999,1,68100,110000,1,0
205,3528,12.3,11.7,144,96,92,1,2421,5869,2001,1,79200,123000,1,0
206,3528,10,11.3,113,91,28,1,2673,5977,2004,1,71600,105000,1,0
207,3528,13.1,10.8,142,113,80,1,2795,5849,2003,1,89100,125000,1,0
208,3528,8.2,16,131,115,33,1,2598,5901,1995,1,88700,128000,0,0
209,3528,11.3,10,113,100,44,1,2416,5939,2001,1,77000,118000,1,0
210,3528,9.2,14.4,133,91,64,1,2561,5870,2002,1,74600,114000,1,0
211,3528,12.2,10.6,129,103,31,1,2493,5785,2004,1,81200,125000,1,0
212,3528,10.8,11,119,95,42,1,2573,5680,2004,1,74900,119000,1,0
213,3528,12.3,11.6,143,105,58,1,2611,5763,1998,1,84500,127000,0,0
214,3528,10.7,13.8,148,84,53,1,2642,5841,1995,1,72600,111000,1,0
215,3528,9.9,14.4,143,82,71,1,2650,5729,2001,1,70700,111000,1,0
216,3528,12.2,10.9,133,98,77,1,2592,5696,1997,1,78800,122000,0,0
217,3528,13.8,10.6,146,103,76,1,2620,5661,2001,1,83700,128000,1,0
218,3528,11.4,12.5,143,85,87,1,2666,5829,2003,1,72500,110000,1,0
219,3528,10.2,14.4,147,85,82,1,2689,5600,2000,1,73100,116000,1,0
220,3528,8.6,16.9,145,99,48,1,2306,5688,1999,1,81200,128000,1,0
221,3800,95,10.7,1016,140,920,0,2995,5063,1998,2,266400,309000,0,0
222,3800,42.6,14,596,146,527,0,2649,5201,2004,1,207000,260000,0,0
223,3800,58.4,10.8,631,215,551,1,2946,5019,2004,1,253700,294000,0,1
224,3800,64,15.5,992,149,926,2,2603,5231,2007,1,268200,333000,1,0
225,3800,57.9,17.1,990,180,930,1,2842,5053,2001,1,286500,337000,0,0
226,3800,56.7,12.4,703,135,643,1,2684,5235,2005,1,216500,271000,1,0
227,3800,60.4,18.6,1123,186,1033,1,2924,5160,2004,2,310100,365000,0,1
228,3800,47.2,18.9,892,152,820,1,2756,5472,2003,1,255000,316000,0,0
229,3800,54.6,18.6,1015,216,927,1,2764,5370,1997,2,311900,382000,0,0
230,3800,95,11.9,1130,196,1058,1,2939,5338,2009,2,317100,380000,0,0
231,3800,58.1,10.2,593,245,525,1,2606,5367,2008,2,266000,336000,0,1
232,3800,57.1,16.2,925,153,868,1,2664,5333,2001,1,260600,326000,0,0
233,3800,36.1,18.2,657,125,593,1,2807,5029,2000,2,203600,243000,1,0
234,3800,85,10.7,909,139,826,1,2829,5306,1995,2,249800,306000,0,0
235,3800,62.5,14.9,931,166,870,1,2679,5347,2001,1,269300,336000,0,0
236,3800,42.5,18.1,769,235,679,1,2950,5326,1995,2,286400,344000,0,1
237,3800,39.4,18.8,741,146,652,1,2758,5391,1998,1,228800,288000,0,1
238,3800,74.2,14.4,1069,240,972,2,2735,5479,1997,2,334400,407000,0,0
239,3800,42.3,12.2,516,134,449,1,2919,5032,2008,1,187800,221000,1,0
240,3800,54.6,18.8,1026,218,973,2,2957,5300,2000,2,314700,375000,0,1
241,3520,49.6,12.3,610,156,511,1,2458,5420,1981,2,195100,262000,0,0
242,3520,18,18.4,331,105,275,0,2101,5331,1970,1,122700,177000,0,0
243,3520,28.9,15.8,456,112,383,0,2472,5049,1973,1,145600,197000,0,0
244,3520,16.9,10,169,93,73,1,2412,5181,1983,1,91200,143000,1,0
245,3520,6.2,18.2,112,114,43,1,2257,5305,1977,1,95200,147000,0,0
246,3520,50.5,17.8,899,99,810,1,2201,5224,1970,1,204300,265000,0,0
247,3520,38.7,17.1,661,97,590,0,2439,5372,1970,1,167400,231000,0,0
248,3520,35.1,14.3,502,158,423,1,2291,5339,1985,1,180100,243000,0,1
249,3520,10.6,18.3,194,116,141,1,2470,5222,1975,1,108700,163000,0,0
250,3520,48.3,12.6,609,133,516,1,2060,5141,1975,2,181200,234000,0,0
251,3520,24.4,10.1,246,133,152,0,2386,5337,1977,2,126700,188000,0,0
252,3520,57.9,11,637,138,566,0,2147,5171,1984,1,188400,245000,0,0
253,3520,74.2,10.4,772,122,703,1,2331,5457,1978,2,199000,266000,0,1
254,3520,50.4,11.5,580,152,493,0,2247,5376,1984,1,188200,252000,0,1
255,3520,31.7,12.5,396,89,300,1,2124,5453,1970,1,122800,178000,0,0
256,3520,23.5,13.9,326,85,257,0,2269,5325,1978,1,109900,166000,0,0
257,3520,51.6,17.7,914,149,833,1,2259,5136,1979,1,236500,302000,0,0
258,3520,44.3,14,620,100,560,0,2099,5351,1977,1,163000,219000,0,0
259,3520,43.9,10.6,465,91,397,1,2270,5415,1985,1,134400,192000,1,0
260,3520,23.5,15.1,355,118,264,1,2210,5359,1974,1,134100,193000,0,0
261,3525,12.9,16.2,209,120,120,1,2873,5758,1986,2,108400,131000,0,0
262,3525,19.4,17.3,335,185,272,0,2421,5953,1999,2,166300,210000,0,0
263,3525,48.3,10.9,526,110,445,0,2415,5569,1995,1,149900,205000,0,1
264,3525,54.9,15.8,868,149,776,0,2629,5568,1983,2,224600,280000,0,0
265,3525,69.4,10.7,743,117,659,0,2852,5588,1987,1,186700,226000,0,0
266,3525,48.4,16.4,793,140,736,0,2519,5656,1989,1,208000,262000,0,0
267,3525,52.9,15,794,140,704,0,2719,5537,1983,2,208100,259000,0,0
268,3525,61.3,11.9,729,140,639,0,2826,5755,1985,1,198400,233000,0,1
269,3525,74.4,11.1,826,187,771,1,2723,5758,2004,2,241100,286000,0,0
270,3525,25,18.4,460,184,368,0,2706,5707,1989,1,184400,225000,0,0
271,3525,55.2,13.7,756,122,692,0,2511,5975,1995,2,191600,230000,0,0
272,3525,35.9,17.6,632,170,548,1,2759,5751,1990,1,201800,240000,0,0
273,3525,38.4,12.8,492,174,434,1,2992,5808,2000,2,183200,206000,0,0
274,3525,16.7,14.5,242,153,159,0,2841,5975,1983,1,133100,151000,0,0
275,3525,43.7,10,437,116,344,0,2896,5742,1984,1,140200,164000,0,0
276,3525,24.2,15.7,380,123,314,1,2743,5729,1989,2,135800,171000,0,1
277,3525,35.8,14.4,515,105,424,1,2697,5992,1986,1,145300,168000,0,1
278,3525,52.5,10.2,535,112,474,0,2576,5729,1990,1,152500,193000,0,0
279,3525,17.2,10.8,186,125,106,1,2519,5801,1981,1,107900,145000,0,0
280,3525,64,11.7,749,161,686,1,2768,5943,1981,1,214000,245000,0,1
281,3528,12.1,12,145,81,77,1,2708,5025,1998,1,70400,108000,1,0
282,3528,7.8,16.4,128,110,68,1,2319,5580,2004,1,85200,135000,1,0
283,3528,14.4,10.1,145,95,70,1,2555,5911,1997,1,78800,118000,1,0
284,3528,13.4,10.9,146,81,48,1,2311,5879,1996,1,70500,111000,1,0
285,3528,7.2,16.5,118,113,25,1,2391,5658,2005,1,85500,135000,1,0
286,3528,7.2,17,123,100,23,1,2364,5696,1998,1,78500,126000,0,0
287,3528,10.8,13,140,91,80,1,2364,5989,2003,1,75600,115000,1,0
288,3528,7.6,18.4,139,117,50,1,2739,5877,2005,1,91100,128000,1,0
289,3528,7.3,16.6,121,104,42,1,2583,5810,1999,1,80600,122000,1,0
290,3528,9.8,12.8,126,113,75,1,2312,5857,2002,1,86700,130000,1,0
291,3528,10.5,11.7,123,111,64,1,2454,5898,2000,1,85100,128000,1,0
292,3528,9.8,13.9,136,101,83,1,2599,5989,2005,1,81000,117000,1,0
293,3528,7.9,18.5,147,90,51,1,2609,5756,1995,1,76100,117000,1,0
294,3528,7.3,19.6,144,91,71,1,2716,5809,1996,1,76200,114000,1,0
295,3528,7.2,17.1,123,104,39,1,2485,5593,2004,1,80900,130000,1,0
296,3528,11.2,12.5,140,80,48,1,2774,5822,2005,1,69000,104000,1,0
297,3528,9.1,15.1,138,101,66,1,2457,5703,2003,1,81300,128000,1,0
298,3528,13.6,10,136,112,86,1,2390,5585,2004,1,87600,140000,1,0
299,3528,11.8,10.4,123,89,49,1,2329,5546,2005,1,71900,121000,1,0
300,3528,10.4,10.9,113,93,48,1,2523,5761,2004,1,72800,115000,1,0
301,3800,41.6,18.1,753,234,654,2,2828,5116,1998,1,283400,337000,0,1
302,3800,57.8,11,636,211,570,1,2753,5093,2001,1,252000,303000,0,1
303,3800,64.6,10.6,685,209,605,0,2992,5141,2006,2,258200,302000,0,1
304,3800,53.6,13,697,160,647,1,2910,5497,2009,1,230600,281000,1,1
305,3800,56.5,10,565,154,468,0,2778,5159,1991,1,207200,253000,0,0
306,3800,57,19.8,1129,161,1037,1,2746,5180,2001,2,296000,357000,0,0
307,3800,37.3,18.6,694,190,611,1,2856,5184,2005,2,248100,298000,0,1
308,3800,65.5,17.2,1127,180,1061,2,2725,5328,1994,1,307100,377000,0,1
309,3800,54.4,18.5,1006,218,932,0,2608,5071,2000,2,311700,376000,0,0
310,3800,97.3,10.7,1041,158,958,2,2626,5134,1999,1,281000,343000,0,0
311,3800,52.9,19.7,1043,210,961,1,2703,5385,1993,2,312500,386000,0,1
312,3800,49.2,16.2,797,249,705,2,2621,5450,1990,1,299000,372000,0,0
313,3800,62.7,17.9,1123,178,1037,1,2888,5051,2001,1,305300,357000,0,0
314,3800,73.4,11.5,844,224,759,0,2750,5267,1994,1,291000,355000,0,0
315,3800,60.9,10.9,664,236,585,0,2815,5168,1990,1,271200,325000,0,0
316,3800,68.6,14.8,1015,231,959,1,2712,5177,1993,2,320900,387000,0,1
317,3800,49.2,16.9,831,193,751,2,2678,5319,1996,1,270500,336000,0,1
318,3800,100.9,11.7,1180,128,1105,0,2897,5025,2000,2,283800,331000,1,0
319,3800,45.3,13.7,621,244,532,1,2889,5299,2000,2,269600,326000,0,0
320,3800,73.5,14.1,1036,163,985,2,2668,5252,2010,1,283200,348000,1,1
